budget,workload,scalability,security,region,team_size,data_volume_gb,uptime_requirement,compliance_required,existing_infra,uses_microsoft_stack,uses_google_workspace,ml_focus,multi_region,serverless_preference,service_model,deployment_model,provider
1591.74,enterprise,low,moderate,eu,420,25.97,95.62,1,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
816.41,enterprise,medium,basic,asia,179,110.78,95.83,0,0,0,0,0,0,0,SaaS,Public Cloud,AWS
1513.88,enterprise,medium,basic,asia,215,68.3,97.13,0,1,0,0,0,0,0,IaaS,Hybrid Cloud,AWS
6102.35,webapp,high,basic,us,55,43.61,96.35,0,1,0,0,0,0,0,PaaS,Public Cloud,AWS
665.04,startup,medium,basic,eu,400,102.56,96.98,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
138.71,webapp,medium,moderate,eu,256,2.4,96.47,1,1,0,0,0,0,1,IaaS,Hybrid Cloud,Azure
192.47,webapp,medium,basic,asia,29,39.11,95.86,0,0,0,0,0,0,1,PaaS,Public Cloud,GCP
3169.49,ml,medium,moderate,eu,46,32.39,98.01,0,0,0,0,1,0,0,IaaS,Public Cloud,GCP
1676.33,enterprise,low,basic,asia,446,65.56,99.77,0,0,1,0,0,0,0,SaaS,Public Cloud,Azure
1542.41,enterprise,high,high,us,311,14.84,99.78,1,1,1,0,0,1,0,IaaS,Hybrid Cloud,Azure
2955.15,ml,medium,moderate,asia,498,39.65,97.1,1,1,0,0,1,0,0,IaaS,Hybrid Cloud,GCP
1226.58,webapp,medium,moderate,us,4,20.58,98.12,1,1,0,0,0,0,1,IaaS,Hybrid Cloud,AWS
12228.23,ml,high,moderate,asia,177,70.3,95.55,0,0,0,0,1,0,0,IaaS,Public Cloud,GCP
2119.63,webapp,low,basic,eu,425,125.6,96.75,0,0,0,1,0,0,0,PaaS,Public Cloud,Azure
128.45,webapp,medium,basic,us,29,18.65,99.43,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
243.08,startup,medium,basic,us,114,0.29,97.96,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
3622.26,enterprise,medium,moderate,eu,45,43.03,99.35,0,1,0,0,0,0,0,IaaS,Hybrid Cloud,AWS
964.52,webapp,medium,high,eu,467,79.37,99.81,1,0,0,1,0,0,1,IaaS,Private Cloud,Azure
685.67,webapp,low,high,asia,7,24.81,95.33,1,1,0,0,0,0,1,IaaS,Private Cloud,AWS
439.18,startup,high,high,us,21,3.42,96.6,1,1,0,1,0,0,1,IaaS,Public Cloud,GCP
426.04,webapp,low,high,us,222,7.3,95.59,1,0,0,1,0,0,1,IaaS,Private Cloud,GCP
239.77,startup,medium,moderate,asia,166,253.48,99.29,1,0,0,0,0,0,1,PaaS,Public Cloud,GCP
870.36,webapp,low,basic,eu,143,12.58,96.0,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
159.46,startup,high,moderate,eu,22,1227.69,97.63,1,0,0,0,0,0,1,PaaS,Public Cloud,AWS
400.75,ml,high,moderate,eu,438,26.81,95.15,0,0,0,0,1,1,0,IaaS,Public Cloud,GCP
294.27,webapp,high,basic,us,18,430.61,95.66,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
1264.34,webapp,low,moderate,us,261,35.06,96.62,1,0,0,1,0,0,1,IaaS,Private Cloud,AWS
371.12,startup,low,moderate,us,204,337.57,99.02,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
2905.91,webapp,low,basic,us,126,39.66,99.75,0,1,0,1,0,0,0,PaaS,Public Cloud,GCP
20211.99,enterprise,low,moderate,asia,119,68.42,97.48,1,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
1355.38,ml,low,high,us,459,25.49,99.38,1,0,0,0,1,0,0,IaaS,Private Cloud,GCP
499.71,webapp,medium,moderate,us,403,12.34,96.19,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
66.38,startup,medium,moderate,eu,228,70.56,98.03,1,1,0,1,0,0,1,IaaS,Public Cloud,GCP
988.72,enterprise,medium,basic,eu,146,87.73,99.11,0,0,0,0,0,0,0,SaaS,Public Cloud,AWS
356.94,startup,high,moderate,us,375,67.28,98.18,0,0,0,1,0,1,1,PaaS,Public Cloud,GCP
7275.47,enterprise,high,basic,asia,242,27.92,99.34,0,0,1,0,0,0,0,SaaS,Public Cloud,Azure
5265.77,enterprise,medium,moderate,us,167,628.03,98.86,0,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
1034.44,webapp,medium,basic,eu,259,5.76,99.97,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
999.93,enterprise,low,basic,asia,5,33.97,98.68,0,1,0,0,0,0,0,SaaS,Public Cloud,AWS
171.22,webapp,medium,basic,us,331,23.9,99.7,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
1528.3,enterprise,medium,moderate,asia,73,241.79,96.61,0,0,0,0,0,0,0,SaaS,Hybrid Cloud,AWS
2655.47,enterprise,medium,basic,us,482,5.09,95.4,0,1,0,0,0,0,0,IaaS,Hybrid Cloud,AWS
296.7,webapp,low,basic,eu,329,29.48,98.91,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
6186.43,enterprise,medium,moderate,asia,7,2.96,95.88,0,1,0,0,0,0,0,SaaS,Hybrid Cloud,AWS
2935.67,enterprise,medium,basic,us,483,130.18,96.33,0,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
809.36,ml,high,basic,us,10,47.87,98.9,0,1,0,0,1,1,0,IaaS,Public Cloud,GCP
83.29,startup,high,moderate,asia,139,12.71,99.84,1,1,0,0,0,1,1,IaaS,Public Cloud,GCP
120.98,startup,high,moderate,asia,370,16.92,97.37,0,0,0,1,0,1,1,PaaS,Public Cloud,GCP
312.91,startup,high,moderate,asia,483,185.6,98.35,0,1,0,0,0,1,1,PaaS,Public Cloud,GCP
311.11,startup,medium,basic,eu,95,9.08,96.71,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
10807.36,enterprise,high,high,asia,491,28.96,96.55,1,1,1,0,0,1,0,IaaS,Hybrid Cloud,Azure
6529.16,enterprise,medium,moderate,eu,132,569.98,98.89,0,0,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
1595.93,enterprise,low,moderate,eu,60,189.01,96.61,1,0,1,0,0,0,0,IaaS,Private Cloud,Azure
495.6,startup,low,moderate,asia,475,195.42,99.74,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
171.93,webapp,medium,moderate,us,70,0.73,98.15,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
433.23,startup,high,basic,eu,250,2.94,96.57,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
355.36,startup,high,basic,us,384,51.76,99.83,0,0,0,0,0,1,1,PaaS,Public Cloud,AWS
5174.82,enterprise,medium,basic,eu,112,40.4,99.3,0,0,1,0,0,0,0,SaaS,Public Cloud,Azure
1125.48,enterprise,high,basic,us,270,108.77,96.19,0,0,1,0,0,1,0,SaaS,Public Cloud,Azure
77.43,startup,high,moderate,us,72,27.91,99.57,0,0,0,1,0,1,1,PaaS,Public Cloud,GCP
123.04,startup,medium,moderate,eu,129,302.95,97.08,1,1,0,1,0,0,1,IaaS,Public Cloud,GCP
647.92,webapp,high,basic,asia,450,42.6,96.79,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
320.76,webapp,medium,high,asia,289,148.37,95.63,1,1,0,0,0,0,1,IaaS,Hybrid Cloud,GCP
2821.53,webapp,low,basic,us,437,118.02,99.35,0,1,0,1,0,0,0,PaaS,Public Cloud,GCP
2703.43,enterprise,medium,moderate,eu,369,453.76,95.21,1,1,0,0,0,0,0,IaaS,Hybrid Cloud,Azure
275.56,webapp,low,basic,us,376,189.61,95.37,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
116.53,startup,high,moderate,us,201,78.07,99.54,1,1,0,1,0,1,1,IaaS,Public Cloud,GCP
1609.09,webapp,high,basic,asia,348,37.75,97.43,0,1,0,1,0,1,1,PaaS,Public Cloud,GCP
1536.33,startup,medium,high,us,142,25.54,98.05,1,0,0,0,0,0,1,IaaS,Private Cloud,AWS
413.68,webapp,low,basic,asia,183,53.1,98.5,0,1,0,0,0,0,1,PaaS,Public Cloud,GCP
1838.93,enterprise,high,high,us,493,68.05,99.14,1,0,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
237.18,webapp,medium,moderate,asia,331,59.34,95.69,0,0,0,0,0,0,1,PaaS,Public Cloud,GCP
1539.38,webapp,high,high,asia,294,14.89,99.22,1,1,0,0,0,1,1,IaaS,Hybrid Cloud,AWS
1413.92,webapp,high,moderate,asia,290,37.34,95.71,1,0,0,0,0,0,1,IaaS,Public Cloud,AWS
505.3,webapp,low,high,us,45,102.24,96.92,1,0,0,0,0,0,1,IaaS,Private Cloud,AWS
129.33,webapp,medium,basic,us,397,577.8,99.16,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
933.83,webapp,medium,moderate,asia,338,196.89,98.11,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
178.87,startup,high,basic,eu,12,13.96,98.77,0,0,0,0,0,1,1,PaaS,Public Cloud,AWS
812.44,webapp,medium,moderate,asia,48,62.45,99.97,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
765.82,webapp,high,moderate,eu,303,334.92,95.34,0,1,0,1,0,1,1,PaaS,Public Cloud,GCP
506.32,webapp,medium,moderate,us,16,136.03,98.4,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
140.02,startup,medium,high,us,233,29.68,98.79,1,0,0,1,0,0,1,IaaS,Private Cloud,GCP
604.06,webapp,medium,moderate,us,12,103.67,97.48,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
317.55,webapp,high,high,us,83,38.89,99.81,1,0,0,1,0,1,1,PaaS,Private Cloud,GCP
244.01,startup,high,moderate,eu,359,12.74,97.5,0,0,0,0,0,0,1,PaaS,Public Cloud,GCP
230.3,startup,medium,moderate,eu,393,96.03,98.69,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
281.8,startup,high,basic,us,163,61.77,97.46,0,0,0,1,0,1,1,PaaS,Public Cloud,GCP
248.56,startup,low,high,eu,233,32.1,95.09,1,0,0,1,0,0,1,IaaS,Private Cloud,GCP
282.04,webapp,low,basic,eu,124,2020.43,97.36,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
3814.27,enterprise,medium,moderate,asia,491,352.4,97.69,0,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
717.69,enterprise,medium,basic,asia,235,36.6,98.37,0,0,1,0,0,0,0,SaaS,Public Cloud,Azure
549.51,webapp,high,basic,eu,374,121.84,96.77,0,1,0,0,0,1,1,PaaS,Public Cloud,AWS
3010.28,ml,high,high,us,476,123.94,99.62,1,0,0,0,1,1,0,IaaS,Private Cloud,GCP
320.92,startup,medium,high,asia,129,7.27,98.76,1,1,0,1,0,0,1,IaaS,Hybrid Cloud,GCP
361.31,startup,high,basic,eu,389,146.39,95.18,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
7492.44,enterprise,medium,moderate,us,221,15.03,97.96,0,1,0,0,0,0,0,IaaS,Hybrid Cloud,AWS
423.91,webapp,medium,basic,asia,181,148.3,98.82,0,0,0,0,0,0,1,PaaS,Public Cloud,GCP
267.79,webapp,high,high,eu,185,176.81,99.03,1,1,0,1,0,0,1,IaaS,Hybrid Cloud,GCP
5257.61,ml,low,basic,asia,102,182.19,98.9,0,1,0,0,1,0,0,IaaS,Public Cloud,GCP
1376.11,webapp,medium,basic,eu,271,1.42,99.52,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
924.22,webapp,medium,moderate,us,13,102.66,99.8,1,1,0,0,0,0,1,IaaS,Hybrid Cloud,AWS
2481.97,enterprise,high,moderate,us,113,50.3,95.96,0,1,1,0,0,1,0,IaaS,Hybrid Cloud,Azure
13634.24,enterprise,high,basic,asia,248,25.99,99.94,0,0,1,0,0,1,0,IaaS,Public Cloud,Azure
509.38,webapp,medium,moderate,eu,124,904.72,95.72,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
179.42,webapp,medium,moderate,eu,258,13.79,99.32,1,0,0,0,0,0,1,PaaS,Public Cloud,Azure
303.11,ml,medium,high,eu,416,14.93,98.73,1,1,0,0,1,0,0,IaaS,Hybrid Cloud,GCP
112.34,startup,high,basic,us,318,3.27,98.03,0,1,0,0,0,1,1,PaaS,Public Cloud,AWS
914.6,ml,medium,moderate,us,444,184.11,98.33,1,0,0,0,1,0,0,IaaS,Public Cloud,GCP
486.65,webapp,low,basic,asia,324,19.4,96.05,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
50.0,startup,high,basic,us,237,124.38,99.75,0,0,0,0,0,1,1,PaaS,Public Cloud,AWS
2064.76,enterprise,high,moderate,eu,87,3.48,95.89,1,0,0,0,0,0,0,IaaS,Hybrid Cloud,Azure
395.4,startup,medium,basic,asia,382,64.64,97.78,0,0,0,0,0,0,1,PaaS,Public Cloud,GCP
220.12,webapp,low,moderate,us,282,29.6,97.56,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
5308.29,enterprise,high,moderate,eu,336,32.52,96.42,0,0,1,0,0,1,0,IaaS,Public Cloud,Azure
377.93,webapp,high,moderate,us,448,411.28,99.7,0,0,0,0,0,1,1,PaaS,Public Cloud,AWS
648.76,webapp,medium,basic,asia,48,443.59,98.75,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
2229.87,ml,high,moderate,eu,470,224.07,98.78,0,0,0,0,1,1,0,IaaS,Public Cloud,GCP
186.13,webapp,high,moderate,eu,294,1454.02,98.73,0,0,0,1,0,1,1,PaaS,Public Cloud,GCP
2137.44,enterprise,low,basic,us,5,114.13,98.14,0,1,1,0,0,0,0,SaaS,Hybrid Cloud,Azure
4839.22,ml,high,high,us,287,134.79,95.03,1,0,0,0,1,1,0,IaaS,Private Cloud,GCP
904.3,startup,high,moderate,us,61,759.12,98.19,1,1,0,0,0,1,1,IaaS,Public Cloud,AWS
484.62,webapp,high,moderate,asia,189,325.15,96.86,1,0,0,1,0,1,1,PaaS,Public Cloud,GCP
573.73,webapp,medium,high,eu,417,29.93,98.04,1,1,0,1,0,0,1,IaaS,Hybrid Cloud,Azure
596.05,startup,low,moderate,eu,209,220.82,99.41,1,0,0,1,0,0,1,IaaS,Public Cloud,Azure
906.38,startup,medium,basic,asia,298,12.08,99.68,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
274.57,webapp,medium,basic,eu,39,6.54,96.51,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
426.38,webapp,high,basic,asia,223,258.21,96.53,0,1,0,0,0,1,1,PaaS,Public Cloud,GCP
481.12,startup,medium,moderate,asia,332,354.37,96.8,1,0,0,0,0,0,1,PaaS,Public Cloud,GCP
291.03,startup,medium,moderate,asia,220,10.53,95.82,1,0,0,0,0,0,1,PaaS,Public Cloud,GCP
2133.48,webapp,high,basic,asia,254,2250.9,97.94,0,1,0,1,0,1,0,PaaS,Public Cloud,GCP
2493.42,ml,high,moderate,asia,423,41.22,95.03,1,1,0,0,1,1,0,IaaS,Hybrid Cloud,GCP
5730.18,enterprise,medium,high,us,471,6.43,99.26,1,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
660.18,webapp,low,basic,asia,416,27.96,97.78,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
91.3,startup,low,moderate,asia,273,10.56,96.48,1,0,0,1,0,0,1,PaaS,Public Cloud,GCP
3038.61,enterprise,medium,basic,asia,460,77.06,95.93,0,0,1,0,0,0,0,SaaS,Public Cloud,Azure
9634.51,ml,high,high,us,271,287.23,96.24,1,1,0,0,1,1,0,IaaS,Hybrid Cloud,GCP
605.7,webapp,high,high,us,294,712.66,98.4,1,1,0,0,0,1,1,IaaS,Hybrid Cloud,AWS
189.8,ml,low,basic,us,378,10.02,95.59,0,1,0,0,1,0,0,IaaS,Public Cloud,GCP
140.01,startup,high,high,eu,162,170.02,95.25,1,0,0,1,0,1,1,IaaS,Public Cloud,GCP
737.22,enterprise,medium,basic,us,166,5.59,99.2,0,0,0,0,0,0,0,SaaS,Public Cloud,AWS
632.81,startup,medium,moderate,eu,388,546.4,97.81,1,0,0,0,0,0,1,IaaS,Public Cloud,Azure
724.05,webapp,medium,basic,us,355,10.98,98.37,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
64.68,webapp,high,high,us,125,20.19,98.14,1,0,0,1,0,1,1,IaaS,Private Cloud,GCP
529.06,ml,medium,high,eu,96,115.48,96.07,1,1,0,0,1,0,0,IaaS,Hybrid Cloud,Azure
1470.13,enterprise,medium,basic,eu,251,197.03,98.89,0,1,0,0,0,0,0,IaaS,Hybrid Cloud,AWS
2275.2,enterprise,medium,basic,asia,425,22.9,96.17,0,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
1708.4,startup,medium,moderate,asia,72,383.93,99.51,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
131.63,startup,medium,moderate,asia,399,149.86,95.81,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
89.0,startup,medium,basic,eu,329,10.59,96.15,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
500.18,startup,high,basic,asia,68,208.39,99.32,0,0,0,0,0,1,1,PaaS,Public Cloud,AWS
561.56,enterprise,medium,high,eu,209,69.4,99.44,1,1,0,0,0,0,0,IaaS,Hybrid Cloud,Azure
1125.05,webapp,medium,basic,us,96,162.94,96.16,0,1,0,1,0,0,1,PaaS,Public Cloud,AWS
103.89,startup,low,basic,asia,124,960.19,98.61,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
1563.27,ml,high,high,us,356,5.01,99.18,1,1,0,0,1,1,0,IaaS,Hybrid Cloud,GCP
3757.26,enterprise,low,basic,asia,109,143.99,99.46,0,1,0,0,0,0,0,IaaS,Hybrid Cloud,AWS
146.75,webapp,low,basic,asia,495,49.49,95.44,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
994.99,webapp,high,moderate,us,243,21.39,97.49,1,1,0,0,0,0,1,IaaS,Public Cloud,AWS
261.97,startup,low,moderate,asia,439,146.36,99.09,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
262.6,webapp,medium,basic,eu,51,312.21,99.55,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
362.56,webapp,high,moderate,eu,29,61.43,95.81,1,1,0,0,0,0,1,PaaS,Public Cloud,Azure
192.98,startup,high,high,eu,330,31.92,97.38,1,1,0,1,0,1,1,IaaS,Hybrid Cloud,GCP
619.86,webapp,medium,high,eu,244,65.75,99.53,1,0,0,0,0,0,1,IaaS,Private Cloud,Azure
927.3,enterprise,high,basic,asia,346,319.69,99.84,0,0,1,0,0,0,0,SaaS,Public Cloud,Azure
233.02,webapp,low,moderate,asia,210,7.85,97.21,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
1329.6,webapp,high,moderate,asia,429,995.24,99.09,1,1,0,0,0,1,1,IaaS,Hybrid Cloud,AWS
281.59,webapp,low,basic,asia,16,249.68,97.78,0,1,0,0,0,0,1,PaaS,Public Cloud,GCP
277.86,startup,medium,basic,us,453,31.47,99.74,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
1367.67,webapp,low,basic,eu,338,138.53,97.73,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
794.34,webapp,high,basic,eu,220,24.97,97.1,0,0,0,1,0,1,1,PaaS,Public Cloud,GCP
921.61,enterprise,medium,moderate,eu,77,516.02,95.81,0,0,1,0,0,0,0,IaaS,Public Cloud,Azure
181.2,webapp,high,moderate,us,101,51.74,99.55,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
737.03,startup,medium,moderate,us,429,11.2,97.93,0,1,0,1,0,0,1,IaaS,Public Cloud,GCP
256.57,webapp,medium,moderate,eu,39,73.7,98.61,1,1,0,1,0,0,1,PaaS,Hybrid Cloud,GCP
10508.75,enterprise,high,high,eu,109,12.68,99.39,1,0,0,0,0,1,0,IaaS,Hybrid Cloud,Azure
410.59,webapp,low,high,asia,474,18.0,98.9,1,1,0,1,0,0,1,IaaS,Private Cloud,GCP
99.34,webapp,high,basic,asia,444,15.64,98.91,0,1,0,0,0,1,1,PaaS,Public Cloud,GCP
1479.33,enterprise,medium,high,asia,6,205.2,98.44,1,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
847.37,enterprise,high,high,eu,59,17.46,98.23,1,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
288.94,webapp,medium,high,asia,116,87.54,97.34,1,1,0,1,0,0,1,IaaS,Hybrid Cloud,GCP
5023.13,enterprise,medium,high,eu,472,59.75,99.97,1,1,0,0,0,0,0,IaaS,Hybrid Cloud,Azure
1506.06,webapp,high,moderate,us,485,32.35,99.09,1,0,0,0,0,0,1,IaaS,Public Cloud,AWS
176.46,startup,high,high,eu,162,68.31,99.63,1,0,0,0,0,1,1,IaaS,Public Cloud,AWS
928.68,webapp,medium,moderate,asia,286,293.44,98.88,0,1,0,0,0,0,1,IaaS,Public Cloud,AWS
130.08,startup,low,basic,asia,185,20.32,96.88,0,1,0,1,0,0,1,PaaS,Public Cloud,GCP
282.83,startup,medium,basic,eu,421,385.64,95.86,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
2042.53,webapp,high,basic,us,485,111.82,97.05,0,1,0,0,0,1,0,PaaS,Public Cloud,AWS
1608.89,webapp,high,moderate,eu,154,23.38,98.83,1,1,0,0,0,1,1,IaaS,Hybrid Cloud,AWS
4527.96,enterprise,medium,basic,us,74,60.86,97.82,0,1,1,0,0,0,0,SaaS,Hybrid Cloud,Azure
1341.55,webapp,low,moderate,asia,25,78.08,98.04,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
1207.74,webapp,low,basic,us,45,10.53,98.79,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
96.57,webapp,high,moderate,us,76,112.68,99.05,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
368.77,webapp,medium,basic,us,334,6.53,96.46,0,1,0,0,0,0,1,PaaS,Public Cloud,AWS
80.94,startup,low,basic,us,337,9.29,99.19,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
1376.68,enterprise,medium,moderate,asia,480,29.42,99.34,0,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
136.28,startup,medium,moderate,eu,14,930.44,96.32,1,0,0,0,0,0,1,PaaS,Public Cloud,Azure
498.37,startup,low,moderate,eu,392,43.37,95.12,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
378.01,enterprise,high,basic,eu,422,56.98,99.17,0,1,0,0,0,1,0,SaaS,Public Cloud,AWS
2616.76,enterprise,medium,high,eu,283,160.24,96.89,1,1,1,0,0,0,0,IaaS,Hybrid Cloud,Azure
162.11,webapp,high,basic,eu,381,10.14,99.42,0,0,0,0,0,1,1,PaaS,Public Cloud,AWS
126.54,startup,low,moderate,us,392,71.85,95.82,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
788.2,startup,medium,high,asia,32,107.01,95.8,1,0,0,0,0,0,1,IaaS,Private Cloud,AWS
693.42,webapp,low,moderate,us,421,53.57,96.26,0,1,0,0,0,0,1,IaaS,Public Cloud,AWS
279.68,startup,high,basic,asia,78,102.11,95.5,0,0,0,1,0,0,1,PaaS,Public Cloud,GCP
150.33,webapp,high,moderate,eu,63,7.94,97.96,0,0,0,0,0,0,1,PaaS,Public Cloud,AWS
